c This Formular is generated by mcnf
c
c    horn? no 
c    forced? no 
c    mixed sat? no 
c    clause length = 3 
c
p cnf ? ?
30 -19 -3 0
89 31 -42 0
1 10 38 0
2 -21 -98 0
36 56 -78 0
14 -59 -87 0
89 -75 -86 0
-20 -80 4 0
-63 90 -55 0
59 75 9 0
-5 31 -97 0
48 -35 58 0
28 84 16 0
65 -4 94 0
-72 -23 7 0
18 -64 -55 0
-96 3 -35 0
89 -65 83 0
8 -60 -28 0
34 50 -14 0
64 -47 -35 0
-19 57 93 0
52 99 -94 0
-59 10 48 0
-78 -44 76 0
-63 -48 52 0
-88 84 -68 0
10 88 -76 0
92 -81 -88 0
66 44 42 0
-45 -98 74 0
-8 -84 -24 0
53 -75 -48 0
-6 70 50 0
90 75 -60 0
58 -60 -93 0
-71 64 73 0
54 92 -12 0
70 25 -59 0
-36 7 -42 0
-90 96 -16 0
72 -97 -35 0
-81 44 -66 0
82 14 10 0
8 -69 -33 0
6 54 -67 0
92 -8 -91 0
-99 32 -25 0
-50 5 83 0
85 53 84 0
-90 7 1 0
50 19 -44 0
21 43 27 0
-13 57 -55 0
-11 100 -52 0
42 -7 -60 0
78 -13 6 0
16 73 -92 0
92 30 -55 0
-47 36 -70 0
52 71 -95 0
99 90 70 0
53 -26 95 0
-43 59 -42 0
67 51 2 0
25 1 -19 0
10 2 -45 0
66 38 -60 0
52 -63 -13 0
-16 -19 80 0
-77 -68 11 0
70 89 25 0
80 -68 -75 0
11 -28 41 0
-1 92 -27 0
91 21 61 0
25 -84 28 0
-86 77 -97 0
-39 26 -1 0
88 49 69 0
-7 20 33 0
6 -45 32 0
-63 80 6 0
32 -78 -48 0
-9 -44 -45 0
90 64 93 0
70 -37 -57 0
29 -33 -30 0
56 -24 47 0
98 65 48 0
16 -31 -69 0
-20 23 37 0
-28 -51 39 0
-27 41 54 0
77 -41 74 0
-30 99 -46 0
99 26 21 0
-41 -30 -94 0
-10 -13 -19 0
73 -63 -3 0
61 17 -84 0
4 14 15 0
-66 -89 47 0
-38 77 45 0
19 -13 -93 0
-8 19 96 0
-81 -28 -25 0
-13 -18 61 0
91 -15 5 0
-66 90 58 0
37 18 -34 0
-44 -90 86 0
-40 -98 54 0
27 -47 44 0
77 48 4 0
-49 -42 33 0
41 -19 32 0
62 26 -14 0
-45 -52 -17 0
3 -60 46 0
-21 42 -92 0
96 -64 -85 0
-44 -51 96 0
27 -10 -72 0
-41 100 14 0
36 -27 -47 0
-93 76 35 0
48 45 75 0
63 -29 49 0
89 -12 -45 0
-8 -33 -77 0
-25 53 32 0
-83 77 -78 0
97 81 -8 0
